RunningID,Ra,Dec,X,Y,Flux1,dFlux1,Flux2,dFlux2,Flux3,dFlux3,Class,Mag1,dMag1,Mag2,dMag2,Mag3,dMag3,StarID
16.0,6675.5,4.57994,15382.0,179.198,21662.9,270.069,25435.4,392.039,4.70662,-0.529796,-1.0,14.8683,0.0126487,14.8365,0.0135358,14.8303,0.0167346,0
26.0,6840.42,5.34538,13778.8,178.48,20566.6,269.678,25558.2,392.015,4.7069,-0.52993,1.0,14.9878,0.0140638,14.8929,0.0142367,14.8251,0.0166532,1
24.0,6354.09,5.45667,13811.0,178.434,19106.1,269.183,21933.7,391.182,4.70609,-0.529531,-1.0,14.9852,0.0140274,14.9729,0.0152968,14.9911,0.0193639,2
46.0,5896.6,7.57924,2551.41,175.12,3738.02,264.407,4430.57,386.785,4.70533,-0.529153,1.0,16.8189,0.0745215,16.7442,0.0767992,16.7278,0.0947843,3
37.0,5808.92,6.06099,17139.8,182.527,23524.7,271.556,28444.4,392.972,4.70518,-0.529083,-1.0,14.7508,0.0115624,14.747,0.0125332,14.7089,0.015,4
27.0,6873.77,4.9667,21366.8,182.213,29953.1,272.996,36226.9,394.717,4.70695,-0.529958,-1.0,14.5115,0.00925903,14.4847,0.00989555,14.4463,0.0118299,5
25.0,6570.96,5.01644,19162.5,181.073,25627.9,271.496,30262.0,393.298,4.70645,-0.52971,-1.0,14.6297,0.0102596,14.654,0.0115021,14.6417,0.0141108,6
28.0,6578.95,5.98554,9985.04,176.522,13135.9,267.047,15210.8,389.464,4.70646,-0.529715,-1.0,15.3374,0.0191945,15.3797,0.0220725,15.3885,0.0277997,7
23.0,5441.73,5.27868,33430.5,190.688,48604.7,280.397,56903.8,400.139,4.70457,-0.528782,-1.0,14.0255,0.00619308,13.9591,0.00626356,13.9561,0.00763477,8
41.0,6138.06,6.63639,14549.1,178.805,20428.1,269.61,24125.6,391.66,4.70573,-0.529352,-1.0,14.9287,0.0133435,14.9002,0.0143296,14.8877,0.0176262,9
42.0,6468.26,6.83252,14639.2,178.85,20807.3,269.739,24538.0,391.755,4.70628,-0.529623,-1.0,14.922,0.0132647,14.8803,0.0140752,14.8693,0.0173341,10
56.0,5597.46,8.40678,3345.37,175.803,4745.5,264.922,5485.12,387.177,4.70483,-0.528906,-1.0,16.5247,0.0570568,16.4851,0.0606124,16.496,0.0766389,11
62.0,5924.33,7.72926,12911.2,180.411,18596.0,269.777,22665.4,391.464,4.70538,-0.529175,1.0,15.0584,0.0151713,15.0023,0.0157511,14.9555,0.0187523,12
