RunningID,Ra,Dec,X,Y,Flux1,dFlux1,Flux2,dFlux2,Flux3,dFlux3,Class,Mag1,dMag1,Mag2,dMag2,Mag3,dMag3,StarID,MJD,FieldId
180504.0,7721.89,4781.63,6874.24,186.78,11356.1,265.771,16900.2,378.743,4.71288,-0.523781,-1.0,14.7779,0.0295006,14.7978,0.02541,14.8235,0.024332,170000,56789.346937,2
180505.0,7718.36,4787.86,1879.08,184.246,3177.53,262.827,4847.35,375.657,4.71288,-0.523769,-1.0,16.1861,0.106458,16.1806,0.089806,16.1795,0.084142,170001,56789.346937,2
180506.0,7004.26,4785.84,4679.67,185.883,7833.6,264.746,11919.5,377.703,4.7117,-0.523189,-1.0,15.1954,0.0431271,15.2009,0.0366939,15.2026,0.0344048,170002,56789.346937,2
180507.0,6315.48,4788.21,1284.72,190.824,2213.16,270.221,3317.58,382.568,4.71055,-0.522623,-2.0,16.599,0.16127,16.5733,0.132566,16.5912,0.125203,170003,56789.346937,2
180508.0,3290.74,4789.25,892.719,194.119,1447.69,273.981,2022.91,387.309,4.70554,-0.520143,-1.0,16.9942,0.236091,17.0341,0.205481,17.1283,0.207877,170004,56789.346937,2
180509.0,2060.11,4785.23,4511.37,188.882,7696.94,268.09,12245.7,381.999,4.7035,-0.519138,1.0,15.2352,0.0454577,15.22,0.0378171,15.1733,0.0338693,170005,56789.346937,2
180510.0,1651.38,4779.76,18777.1,193.755,31589.1,273.446,47888.8,387.062,4.70282,-0.518809,-1.0,13.6869,0.0112034,13.687,0.00939853,13.6926,0.0087755,170006,56789.346937,2
180511.0,1647.23,4785.47,9307.4,188.895,15750.2,267.663,24370.7,380.942,4.70282,-0.518798,-2.0,14.4489,0.0220353,14.4426,0.0184514,14.426,0.0169714,170007,56789.346937,2
180512.0,1018.4,4787.47,1366.47,187.123,2443.74,265.506,3957.67,378.34,4.70178,-0.518277,1.0,16.532,0.148681,16.4657,0.117963,16.3996,0.103793,170008,56789.346937,2
180513.0,1176.3,4788.95,1325.19,184.649,2071.25,262.514,2892.01,375.229,4.70204,-0.518405,-1.0,16.5653,0.151285,16.6452,0.137609,16.7402,0.140871,170009,56789.346937,2
180514.0,7064.26,4789.58,989.204,183.971,1700.79,262.491,2606.35,375.267,4.7118,-0.523233,1.0,16.8828,0.201925,16.8592,0.167567,16.8531,0.156327,170010,56789.346937,2
180515.0,6666.03,4789.53,755.909,190.52,1394.59,269.897,2422.43,382.332,4.71114,-0.522907,1.0,17.1748,0.273651,17.0747,0.210125,16.9326,0.171362,170011,56789.346937,2
180516.0,10543.8,4783.29,66924.4,216.781,112612.0,302.517,171260.0,419.989,4.71758,-0.526076,-1.0,12.307,0.00351692,12.3069,0.0029167,12.3091,0.00266261,170012,56789.346937,2
180517.0,10526.3,4777.48,1835.41,185.083,3186.5,264.335,5064.49,378.271,4.71755,-0.52607,1.0,16.2116,0.109486,16.1775,0.0900672,16.1319,0.0810948,170013,56789.346937,2
180518.0,10537.7,4775.97,48667.7,208.348,81600.5,292.167,124568.0,408.66,4.71757,-0.526081,-1.0,12.6529,0.00464809,12.6566,0.00388745,12.6547,0.00356188,170014,56789.346937,2
180519.0,10566.6,4782.43,9344.39,188.91,15956.3,268.948,24007.9,383.124,4.71762,-0.526095,-1.0,14.4446,0.0219498,14.4285,0.0183005,14.4423,0.0173266,170015,56789.346937,2
180520.0,12694.0,4775.31,99991.6,238.09,239980.0,349.967,552522.0,511.813,4.72117,-0.527831,-1.0,11.8711,0.00258525,11.4854,0.00158335,11.0373,0.00100574,170016,56789.346937,2
180521.0,12682.2,4754.58,9341.67,195.615,16122.1,277.04,25555.9,392.084,4.72113,-0.527851,1.0,14.4449,0.0227354,14.4173,0.0186572,14.3745,0.0166577,170017,56789.346937,2
180522.0,12690.8,4746.55,132454.0,251.607,224645.0,345.508,343113.0,467.961,4.72113,-0.52787,-1.0,11.5658,0.00206245,11.5571,0.00166989,11.5546,0.0014808,170018,56789.346937,2
180523.0,12697.2,4755.35,28640.3,205.415,49234.1,289.015,77107.8,405.393,4.72115,-0.527862,-1.0,13.2285,0.0077872,13.2052,0.00637353,13.1755,0.00570825,170019,56789.346937,2
180524.0,10480.0,4790.53,818.408,184.307,1364.99,263.365,2026.79,377.161,4.71749,-0.526013,1.0,17.0886,0.244511,17.098,0.209486,17.1262,0.202043,170020,56789.346937,2
180525.0,12176.0,4789.87,1524.19,191.403,2408.27,271.786,3453.05,386.037,4.72031,-0.527391,-1.0,16.4134,0.136344,16.4816,0.122532,16.5477,0.121381,170021,56789.346937,2
180526.0,11179.7,4789.13,1227.75,182.19,2108.84,260.754,3300.74,374.436,4.71865,-0.526584,1.0,16.6482,0.161117,16.6257,0.134249,16.5967,0.123167,170022,56789.346937,2
180527.0,7265.67,4785.84,15256.8,191.328,25543.7,271.228,38690.3,384.681,4.71213,-0.523402,-1.0,13.9123,0.0136157,13.9176,0.0115286,13.9242,0.010795,170023,56789.346937,2
180528.0,7263.06,4778.33,3727.82,185.338,6210.55,264.093,9528.33,377.03,4.71212,-0.523411,-1.0,15.4423,0.0539803,15.453,0.0461692,15.4457,0.042962,170024,56789.346937,2
180529.0,6561.87,4784.25,18038.0,199.491,30268.0,280.532,46618.6,393.889,4.71096,-0.52283,-1.0,13.7305,0.0120077,13.7334,0.0100629,13.7218,0.00917362,170025,56789.346937,2
180530.0,7391.93,4785.76,14768.8,190.883,24283.8,270.552,36564.7,383.924,4.71234,-0.523506,-1.0,13.9476,0.0140329,13.9725,0.0120965,13.9856,0.0114001,170026,56789.346937,2
180531.0,1244.84,4789.38,1202.89,184.617,1953.18,262.507,2812.71,375.243,4.70216,-0.518461,1.0,16.6704,0.166637,16.709,0.145924,16.7704,0.144848,170027,56789.346937,2
180532.0,1506.24,4768.66,13678.6,191.283,24744.1,271.136,41677.5,385.686,4.70257,-0.518706,1.0,14.0309,0.015183,13.9521,0.0118971,13.8435,0.0100475,170028,56789.346937,2
180533.0,1531.14,4759.7,9964.82,189.391,16747.1,268.222,25762.8,381.524,4.7026,-0.518739,-1.0,14.3748,0.0206355,14.376,0.0173893,14.3657,0.0160789,170029,56789.346937,2
180534.0,1482.5,4767.43,26820.4,197.931,45833.7,278.728,69050.2,392.714,4.70253,-0.518688,-1.0,13.2998,0.0080126,13.2829,0.00660271,13.2953,0.00617501,170030,56789.346937,2
180535.0,1486.52,4788.32,3370.99,187.416,5722.08,265.842,8520.53,378.669,4.70255,-0.518661,-1.0,15.5516,0.0603634,15.5419,0.0504423,15.567,0.0482524,170031,56789.346937,2
180536.0,1523.4,4755.94,3444.45,185.87,5932.76,264.082,9607.41,377.144,4.70258,-0.518738,1.0,15.5282,0.0585887,15.5027,0.048329,15.4367,0.0426213,170032,56789.346937,2
180537.0,1489.41,4775.21,15183.7,192.029,26730.0,271.825,43408.0,386.086,4.70255,-0.518683,1.0,13.9175,0.0137314,13.8683,0.0110412,13.7993,0.00965695,170033,56789.346937,2
180538.0,5429.18,4786.26,7442.46,184.98,12455.9,263.49,18851.7,376.038,4.70908,-0.521901,-2.0,14.6917,0.0269857,14.6974,0.0229676,14.7048,0.0216574,170034,56789.346937,2
180539.0,2700.1,4786.19,7820.76,189.351,13733.6,269.004,23069.7,383.777,4.70456,-0.519663,1.0,14.6379,0.0262872,14.5914,0.0212667,14.4856,0.0180619,170035,56789.346937,2
180541.0,1457.34,4788.72,1764.63,185.117,2911.92,263.105,4302.77,375.881,4.70251,-0.518637,-1.0,16.2543,0.113898,16.2754,0.0981014,16.3088,0.0948479,170036,56789.346937,2
180542.0,726.131,4787.11,4631.58,193.929,8146.98,273.526,13656.9,386.693,4.7013,-0.518037,1.0,15.2067,0.045461,15.1583,0.0364525,15.0548,0.0307426,170037,56789.346937,2
180543.0,859.292,4787.11,9496.86,196.494,15711.9,276.361,23563.2,389.342,4.70152,-0.518147,-1.0,14.427,0.0224645,14.4453,0.0190973,14.4626,0.01794,170038,56789.346937,2
180544.0,769.235,4788.28,4310.87,193.747,7241.15,273.169,10838.2,385.921,4.70137,-0.518071,-1.0,15.2846,0.0487973,15.2863,0.040959,15.3058,0.0386603,170039,56789.346937,2
180545.0,10643.1,4790.66,1505.54,185.029,2475.15,264.215,3580.02,378.032,4.71776,-0.526146,-1.0,16.4267,0.133436,16.4518,0.1159,16.5085,0.114649,170040,56789.346937,2
180546.0,8866.3,4788.8,3349.18,189.992,5770.37,270.47,9149.33,384.854,4.7148,-0.524703,1.0,15.5586,0.0615918,15.5328,0.050891,15.4897,0.0456701,170041,56789.346937,2
180547.0,10345.8,4767.95,44451.2,206.138,73320.2,289.088,111736.0,405.237,4.71724,-0.525937,-1.0,12.7513,0.005035,12.7728,0.00428087,12.7727,0.00393769,170042,56789.346937,2
180548.0,10330.3,4778.35,82622.0,223.381,139774.0,310.826,210411.0,428.772,4.71722,-0.525909,-1.0,12.0782,0.00293546,12.0723,0.00241444,12.0855,0.0022125,170043,56789.346937,2
