RunningID,Ra,Dec,X,Y,Flux1,dFlux1,Flux2,dFlux2,Flux3,dFlux3,Class,Mag1,dMag1,Mag2,dMag2,Mag3,dMag3,StarID
558912.0,7288.39,8342.79,10104.6,280.594,15521.5,414.939,20502.9,606.404,4.71552,-0.518309,-1.0,15.8094,0.0301498,15.7724,0.0290253,15.7352,0.0321124,300000
558731.0,5223.1,8339.38,12379.3,297.867,18276.9,432.15,23141.0,619.751,4.71209,-0.516631,-1.0,15.5889,0.0261248,15.595,0.0256718,15.6038,0.0290777,300001
558945.0,5213.18,8341.26,15779.7,299.027,23164.0,433.331,29548.2,620.837,4.71208,-0.51662,-1.0,15.3254,0.0205749,15.3377,0.020311,15.3385,0.0228125,300002
559502.0,6151.48,8343.71,6320.81,286.848,9550.86,421.173,12426.4,610.297,4.71363,-0.517382,-1.0,16.3187,0.0492726,16.2996,0.0478789,16.2789,0.0533238,300003
558910.0,10709.2,8343.52,2624.2,292.395,4341.86,427.392,5937.69,620.043,4.7212,-0.521083,1.0,17.2732,0.120976,17.1555,0.106875,17.0807,0.113378,300004
559028.0,4881.4,8331.99,102644.0,316.038,156287.0,453.03,199103.0,640.244,4.71152,-0.516363,-1.0,13.2923,0.00334296,13.2649,0.00314725,13.2671,0.00349136,300005
559029.0,4870.04,8336.32,30767.8,294.065,45179.6,428.556,58162.8,617.851,4.7115,-0.516347,-1.0,14.6004,0.010377,14.6124,0.0102989,14.6032,0.0115336,300006
559030.0,4880.09,8341.77,13677.9,288.583,20449.5,422.917,27447.2,612.886,4.71153,-0.516348,-1.0,15.4806,0.0229075,15.473,0.0224543,15.4185,0.0242441,300007
559031.0,4880.54,8324.25,15474.0,289.271,23333.6,423.681,30625.0,613.469,4.71151,-0.516373,-1.0,15.3467,0.0202968,15.3298,0.0197144,15.2996,0.0217492,300008
559192.0,5192.3,8344.73,3811.95,295.025,5899.42,429.248,7845.35,617.228,4.71205,-0.516598,-1.0,16.8678,0.0840305,16.8227,0.0789996,16.7782,0.08542,300009
558967.0,2363.8,8324.72,124028.0,340.951,189748.0,475.034,248745.0,656.259,4.70735,-0.514315,-1.0,13.0869,0.00298469,13.0543,0.00271816,13.0254,0.00286449,300010
558968.0,2373.51,8340.98,41674.0,314.744,61988.6,445.974,79696.1,628.873,4.70738,-0.514299,-1.0,14.271,0.00820008,14.2689,0.00781131,14.2612,0.00856746,300011
558966.0,2369.92,8314.87,10600.8,304.8,15116.8,435.285,19344.8,619.059,4.70735,-0.514334,-1.0,15.7573,0.0312179,15.8011,0.0312637,15.7984,0.0347451,300012
559024.0,4070.99,8343.72,2793.01,279.842,4220.53,414.148,5482.93,605.747,4.71019,-0.515684,-1.0,17.2055,0.108785,17.1863,0.10654,17.1672,0.119951,300013
559005.0,6623.81,8344.35,3485.59,285.815,5243.44,420.073,6823.27,609.299,4.71442,-0.517766,-1.0,16.965,0.0890295,16.9507,0.0869828,16.9298,0.0969536,300014
559258.0,2204.89,8342.09,20539.4,307.921,29701.4,438.545,37371.0,621.932,4.7071,-0.51416,-1.0,15.0392,0.0162771,15.0678,0.0160311,15.0834,0.018069,300015
559257.0,1654.75,8345.37,2860.98,289.636,5181.88,420.772,8168.4,608.727,4.7062,-0.513704,1.0,17.1794,0.109916,16.9635,0.0881628,16.7344,0.0809117,300016
559209.0,1464.73,8345.14,3558.79,289.002,5464.11,419.952,7305.54,607.892,4.70589,-0.513548,1.0,16.9424,0.0881708,16.9059,0.0834461,16.8556,0.0903441,300017
