RunningID,Ra,Dec,X,Y,Flux1,dFlux1,Flux2,dFlux2,Flux3,dFlux3,Class,Mag1,dMag1,Mag2,dMag2,Mag3,dMag3,StarID
461737.0,7296.27,8335.84,5829.96,225.255,9293.01,322.83,13219.6,461.045,4.71552,-0.518309,-1.0,17.1621,0.0419503,17.1451,0.0377175,17.1099,0.037866,300000
461488.0,5230.99,8332.04,6419.9,223.312,9683.19,318.031,13343.5,452.224,4.71209,-0.516631,-1.0,17.0574,0.0377667,17.1005,0.0356597,17.0998,0.0367966,300001
461654.0,5221.1,8333.97,8042.74,224.033,12255.0,318.843,17100.5,453.066,4.71208,-0.51662,-1.0,16.8128,0.0302437,16.8447,0.028248,16.8304,0.028766,300002
462095.0,6159.66,8336.54,3791.71,220.216,6119.75,314.904,8699.96,450.024,4.71363,-0.517382,1.0,17.6292,0.063058,17.5987,0.0558688,17.5642,0.0561622,300003
461690.0,10717.4,8337.2,1822.01,223.298,3015.48,320.651,4265.49,459.394,4.7212,-0.521083,1.0,18.4249,0.133064,18.3671,0.115452,18.338,0.116934,300004
461850.0,4889.48,8324.69,54997.8,240.568,87260.0,339.118,119817.0,474.923,4.71152,-0.516363,-1.0,14.7254,0.00474919,14.7135,0.0042195,14.7167,0.00430357,300005
461851.0,4878.02,8329.03,17020.2,224.654,25441.2,320.498,35332.6,456.596,4.7115,-0.516347,-1.0,15.9989,0.0143309,16.0517,0.0136777,16.0425,0.0140308,300006
461852.0,4888.05,8334.47,7399.83,220.376,11743.3,316.176,16846.5,452.471,4.71153,-0.516348,-1.0,16.9032,0.0323347,16.8911,0.0292324,16.8467,0.0291614,300007
461853.0,4888.54,8317.01,11516.0,222.243,18296.5,318.288,26176.9,454.607,4.71151,-0.516373,-1.0,16.423,0.0209532,16.4096,0.0188877,16.3682,0.0188558,300008
461789.0,5200.11,8337.35,2386.34,221.516,3792.26,316.17,5267.9,450.417,4.71204,-0.516598,-1.0,18.1319,0.100785,18.1183,0.0905209,18.1089,0.0928333,300009
461672.0,2371.7,8316.91,63121.9,256.246,99029.7,354.226,138383.0,488.171,4.70735,-0.514315,-1.0,14.5758,0.0044076,14.5761,0.00388366,14.5602,0.00383014,300010
461673.0,2381.41,8333.19,20868.3,238.599,32668.7,334.328,44670.7,467.949,4.70738,-0.514299,-1.0,15.7775,0.0124139,15.7802,0.0111113,15.7879,0.0113737,300011
461671.0,2377.8,8307.05,5201.44,231.715,7912.84,326.594,10898.3,460.444,4.70735,-0.514334,-1.0,17.286,0.0483678,17.3197,0.0448128,17.3196,0.0458717,300012
461666.0,4078.72,8336.25,1445.37,217.637,2250.57,313.853,2964.25,451.109,4.71019,-0.515684,-1.0,18.6763,0.163485,18.6848,0.151412,18.7332,0.165232,300013
461720.0,6631.67,8337.3,2042.68,219.414,3205.36,313.912,4281.58,448.892,4.71442,-0.517766,-1.0,18.3008,0.116624,18.3008,0.10633,18.3339,0.113832,300014
461846.0,2213.04,8334.16,14914.5,235.991,22695.4,331.234,31683.8,465.093,4.7071,-0.51416,-1.0,16.1422,0.0171796,16.1757,0.0158461,16.1609,0.0159378,300015
461786.0,1662.7,8337.43,2163.07,226.27,3840.21,322.641,6032.91,459.094,4.7062,-0.513704,1.0,18.2386,0.113574,18.1046,0.0912199,17.9616,0.0826228,300016
461739.0,1472.46,8337.16,1931.81,226.162,3166.6,322.422,4535.24,458.75,4.70588,-0.513548,1.0,18.3614,0.12711,18.314,0.110549,18.2715,0.109825,300017
461744.0,452.531,8336.34,8130.55,225.121,12617.5,321.628,16423.7,458.478,4.7042,-0.512712,-1.0,16.801,0.0300622,16.8131,0.0276762,16.8743,0.0303091,300018
461761.0,356.765,8334.61,10269.2,226.067,16702.5,322.912,23280.5,460.01,4.70404,-0.512636,1.0,16.5474,0.0239015,16.5086,0.0209907,16.4955,0.0214536,300019
457764.0,578.865,8261.34,12272.5,226.951,19036.7,323.645,25924.4,460.602,4.70434,-0.512924,-1.0,16.3539,0.0200783,16.3666,0.0184588,16.3787,0.0192905,300020
461752.0,543.494,8329.64,23104.9,231.606,36944.9,329.112,50858.3,465.993,4.70435,-0.512797,-1.0,15.667,0.0108836,15.6466,0.00967196,15.6471,0.00994817,300021
461749.0,570.936,8286.78,174933.0,289.828,380876.0,421.942,711110.0,593.865,4.70435,-0.512881,-1.0,13.4691,0.00179885,13.1136,0.00120281,12.7831,0.000906727,300022
461748.0,554.224,8272.64,16542.7,228.924,25557.9,325.826,34667.3,462.757,4.70431,-0.512887,-1.0,16.0297,0.0150248,16.0467,0.0138416,16.0632,0.014493,300023
461747.0,557.686,8319.64,34613.2,236.584,55089.3,334.749,77659.8,472.002,4.70436,-0.512823,-1.0,15.2282,0.00742113,15.2129,0.00659747,15.1875,0.00659892,300024
461750.0,564.47,8310.06,13960.1,227.704,21943.9,324.57,31095.8,461.775,4.70436,-0.512842,-1.0,16.214,0.0177096,16.2122,0.016059,16.1812,0.0161233,300025
461757.0,573.105,8313.95,12238.1,226.948,18389.6,323.46,25427.4,460.516,4.70438,-0.512843,-1.0,16.357,0.0201345,16.4041,0.0190974,16.3997,0.0196639,300026
461753.0,561.483,8269.09,14365.3,227.935,22160.6,324.715,30206.2,461.691,4.70432,-0.512898,-1.0,16.183,0.0172275,16.2016,0.0159091,16.2127,0.0165951,300027
461755.0,573.671,8270.7,16427.4,228.806,25550.8,325.726,34634.1,462.609,4.70434,-0.512906,-1.0,16.0373,0.0151225,16.047,0.0138412,16.0642,0.0145023,300028
461760.0,568.22,8298.04,40055.9,238.862,61175.8,336.574,85438.5,473.674,4.70436,-0.512862,-1.0,15.0696,0.00647451,15.0991,0.00597347,15.0838,0.00601938,300029
461675.0,2067.5,8334.26,15155.4,234.5,23574.3,330.21,31570.6,464.437,4.70686,-0.514041,-1.0,16.1249,0.0167997,16.1344,0.0152082,16.1647,0.0159724,300030
461676.0,2075.4,8331.78,13363.5,233.734,20781.8,329.362,28041.6,463.676,4.70688,-0.514051,-1.0,16.2615,0.01899,16.2713,0.0172074,16.2934,0.017953,300031
461628.0,417.516,8332.81,20770.2,230.673,32671.0,327.903,44703.9,464.794,4.70414,-0.512689,-1.0,15.7827,0.0120582,15.7801,0.010897,15.7871,0.0112886,300032
461813.0,557.691,8338.68,1642.55,222.28,2866.0,318.622,4416.98,455.897,4.70438,-0.512795,1.0,18.5375,0.146929,18.4223,0.120705,18.3001,0.112064,300033
461771.0,9959.93,8337.4,2447.21,224.892,3877.53,322.694,5433.96,461.639,4.71994,-0.520469,-2.0,18.1046,0.0997766,18.0941,0.0903569,18.0752,0.0922386,300034
461796.0,6652.17,8335.95,4613.66,220.576,7466.14,315.295,10983.6,450.461,4.71445,-0.517784,1.0,17.4162,0.0519086,17.3828,0.0458508,17.3111,0.0445284,300035
461722.0,5965.86,8337.07,3633.64,221.154,5383.43,316.143,7056.66,451.438,4.71331,-0.517223,-1.0,17.6754,0.0660814,17.7379,0.0637603,17.7915,0.0694583,300036
461691.0,12725.4,8335.68,14593.9,225.928,23317.9,322.126,31706.8,459.25,4.72454,-0.522709,-1.0,16.1658,0.0168083,16.1463,0.014999,16.1601,0.0157262,300037
461779.0,9050.0,8338.95,1788.3,219.624,2509.49,315.774,3099.56,453.522,4.71843,-0.519729,-1.0,18.4452,0.133342,18.5666,0.136621,18.6847,0.158863,300038
462289.0,6753.91,8334.96,9418.98,222.71,14173.5,317.391,19442.2,452.309,4.71462,-0.517868,-1.0,16.6413,0.0256721,16.6868,0.0243133,16.6911,0.025259,300039
461925.0,5528.38,8336.21,7081.79,223.608,11137.0,318.488,15316.5,452.663,4.71259,-0.516868,-1.0,16.9509,0.0342823,16.9486,0.0310491,16.9501,0.0320879,300040
461926.0,5536.83,8337.0,4538.74,222.501,6883.12,317.19,9396.86,451.403,4.7126,-0.516874,-1.0,17.4339,0.0532258,17.4711,0.0500335,17.4805,0.0521564,300041
461735.0,2806.54,8336.91,2942.18,230.71,4511.26,325.524,6038.49,459.364,4.70809,-0.514642,-1.0,17.9046,0.0851382,17.9298,0.078345,17.9606,0.0825951,300042
461807.0,822.657,8336.73,12514.0,227.007,19223.0,323.63,25359.7,460.372,4.70481,-0.513016,-1.0,16.3328,0.0196955,16.356,0.018279,16.4026,0.0197102,300043
461791.0,2156.04,8314.89,16084.1,236.505,24002.0,331.652,32576.6,465.313,4.70699,-0.514141,-1.0,16.0603,0.015965,16.1149,0.0150024,16.1307,0.0155083,300044
461792.0,2164.6,8333.45,14537.0,235.83,23254.8,331.399,32050.6,465.152,4.70702,-0.514121,-1.0,16.1701,0.0176136,16.1493,0.0154727,16.1484,0.0157574,300045
461794.0,2158.55,8329.38,6904.09,232.459,10924.8,327.548,14864.2,461.353,4.70701,-0.514122,-1.0,16.9785,0.0365566,16.9695,0.0325529,16.9826,0.033699,300046
461994.0,180.53,8337.88,3098.65,222.811,5757.76,319.365,9856.02,456.867,4.70376,-0.512487,1.0,17.8483,0.0780709,17.6649,0.0602226,17.4287,0.0503285,300047
461869.0,804.739,8339.74,2374.65,222.516,3450.69,318.675,4150.54,455.647,4.70479,-0.512997,-1.0,18.1373,0.101739,18.2208,0.100269,18.3677,0.119193,300048
461808.0,871.007,8338.27,2688.13,222.639,4063.74,318.844,5481.66,455.91,4.70489,-0.513053,-1.0,18.0026,0.0899243,18.0432,0.085188,18.0657,0.090301,300049
461864.0,860.64,8338.51,5468.85,223.89,8619.99,320.299,11352.6,457.245,4.70488,-0.513044,-1.0,17.2315,0.0444493,17.2268,0.0403436,17.2752,0.04373,300050
461745.0,290.419,8335.06,15138.4,228.176,24039.3,325.159,33781.1,462.279,4.70393,-0.512581,-1.0,16.1261,0.016365,16.1132,0.0146859,16.0913,0.0148579,300051
461769.0,12422.7,8336.05,12840.6,225.159,19962.1,321.08,27566.8,458.331,4.72404,-0.522464,-1.0,16.3048,0.0190384,16.315,0.0174636,16.312,0.0180517,300052
461830.0,7190.6,8338.16,938.654,223.105,2006.08,320.577,3819.89,459.015,4.71534,-0.518219,1.0,19.145,0.258065,18.8097,0.173504,18.4578,0.130467,300053
461773.0,11438.0,8328.08,187025.0,299.493,322873.0,413.741,500704.0,562.254,4.72239,-0.521679,-1.0,13.3965,0.00173865,13.293,0.00139131,13.164,0.00121921,300054
461774.0,11447.2,8333.99,13672.9,232.835,21513.8,330.138,31307.6,467.547,4.72241,-0.521678,-1.0,16.2366,0.0184889,16.2337,0.0166612,16.1738,0.0162144,300055
460950.0,11730.2,8316.1,7623.08,230.187,11974.1,327.17,17248.0,464.428,4.72287,-0.521933,-2.0,16.8709,0.032785,16.8699,0.0296657,16.8211,0.0292352,300056
461561.0,11709.9,8322.54,147065.0,285.072,313149.0,410.769,580583.0,576.268,4.72284,-0.521907,-1.0,13.6575,0.00210461,13.3262,0.0014242,13.0033,0.00107767,300057
461904.0,5089.53,8331.78,27106.5,232.348,43760.2,328.638,63717.2,463.405,4.71186,-0.516516,1.0,15.4936,0.00930663,15.4628,0.00815389,15.4023,0.00789641,300058
