RunningID,Ra,Dec,X,Y,Flux1,dFlux1,Flux2,dFlux2,Flux3,dFlux3,Class,Mag1,dMag1,Mag2,dMag2,Mag3,dMag3,StarID,MJD,FieldId
439664.0,7294.83,8339.5,4063.53,164.381,6620.12,236.355,9545.04,340.883,4.71552,-0.518309,1.0,17.014,0.0439211,16.9848,0.0387636,16.953,0.0387751,300000,57268.1596647,3
439479.0,5229.76,8335.71,4319.78,165.213,6819.16,237.644,9437.23,342.307,4.71209,-0.516631,-1.0,16.9476,0.0415248,16.9526,0.0378374,16.9653,0.0393819,300001,57268.1596647,3
439588.0,5219.88,8337.64,5463.96,165.767,8631.82,238.277,12097.3,342.985,4.71208,-0.51662,-1.0,16.6925,0.0329395,16.6967,0.0299713,16.6957,0.0307831,300002,57268.1596647,3
440108.0,6158.1,8340.2,2984.5,166.238,4644.44,238.023,6627.68,342.196,4.71363,-0.517382,-1.0,17.3491,0.0604761,17.3696,0.0556432,17.349,0.0560583,300003,57268.1596647,3
439701.0,10715.6,8341.09,1483.6,166.911,2431.36,239.108,3480.7,344.934,4.7212,-0.521083,1.0,18.1079,0.12215,18.0723,0.106775,18.0483,0.107596,300004,57268.1596647,3
439850.0,4888.28,8328.28,34472.9,180.186,54930.1,254.484,77331.0,359.128,4.71152,-0.516363,-1.0,14.6925,0.00567502,14.6874,0.0050301,14.6816,0.00504222,300005,57268.1596647,3
439851.0,4876.78,8332.62,11364.1,167.582,18158.4,240.096,25448.8,344.528,4.7115,-0.516347,-1.0,15.8974,0.016011,15.8893,0.014356,15.8883,0.0146988,300006,57268.1596647,3
439852.0,4886.79,8338.07,5207.46,164.084,8281.79,236.101,12118.4,340.689,4.71153,-0.516348,-1.0,16.7447,0.034211,16.7416,0.0309528,16.6938,0.0305238,300007,57268.1596647,3
439853.0,4887.29,8320.58,10120.9,166.94,16377.0,239.427,23322.1,343.942,4.71151,-0.516373,-1.0,16.0232,0.0179088,16.0014,0.0158732,15.983,0.0160119,300008,57268.1596647,3
439717.0,5198.88,8341.05,2002.1,163.822,3122.13,236.077,4450.42,340.816,4.71204,-0.516598,-1.0,17.7825,0.0888405,17.8008,0.0820972,17.7814,0.0831466,300009,57268.1596647,3
439615.0,2370.61,8320.41,37516.7,182.566,61871.4,258.04,87670.5,361.86,4.70735,-0.514315,-1.0,14.6007,0.0052835,14.5582,0.00452818,14.5453,0.0044814,300010,57268.1596647,3
439616.0,2380.31,8336.69,12542.1,169.062,20309.3,241.918,28491.8,345.307,4.70738,-0.514299,-1.0,15.7903,0.0146353,15.7677,0.012933,15.7656,0.0131586,300011,57268.1596647,3
439614.0,2376.69,8310.55,3226.4,163.762,5193.0,235.8,7175.38,339.164,4.70735,-0.514334,-1.0,17.2644,0.0551087,17.2484,0.0493004,17.2628,0.0513205,300012,57268.1596647,3
439598.0,4077.4,8339.79,939.349,159.913,1519.11,231.456,2073.85,335.98,4.71019,-0.515684,-1.0,18.6042,0.184834,18.583,0.165427,18.6105,0.175899,300013,57268.1596647,3
439700.0,6630.18,8340.87,1609.81,165.483,2490.39,237.189,3435.79,341.314,4.71442,-0.517766,-1.0,18.0193,0.111611,18.0463,0.103408,18.0624,0.107858,300014,57268.1596647,3
439827.0,2211.84,8337.68,12039.3,168.786,19213.2,241.483,27307.1,344.97,4.7071,-0.51416,-1.0,15.8347,0.0152217,15.8279,0.0136462,15.8117,0.0137161,300015,57268.1596647,3
440377.0,1662.46,8341.57,1902.24,162.791,3130.28,234.692,4568.72,337.876,4.7062,-0.513704,1.0,17.8381,0.092916,17.798,0.081403,17.7529,0.080295,300016,57268.1596647,3
439676.0,1471.3,8340.48,1253.74,162.407,2022.6,234.232,2819.43,337.365,4.70588,-0.513548,1.0,18.2907,0.140645,18.2722,0.125736,18.277,0.129916,300017,57268.1596647,3
439745.0,451.575,8339.71,6843.76,167.283,10694.8,239.152,14180.0,341.736,4.7042,-0.512712,-1.0,16.448,0.0265389,16.464,0.0242788,16.5232,0.0261662,300018,57268.1596647,3
439698.0,355.827,8338.01,6607.49,167.144,10649.0,239.129,15442.7,342.094,4.70404,-0.512636,1.0,16.4861,0.027465,16.4687,0.0243808,16.4306,0.0240518,300019,57268.1596647,3
435675.0,577.901,8264.8,7800.43,167.828,12261.9,239.788,17412.9,342.669,4.70434,-0.512924,-1.0,16.3059,0.02336,16.3156,0.0212322,16.3003,0.0213663,300020,57268.1596647,3
439684.0,542.464,8333.03,16757.3,172.836,26285.1,245.375,36568.3,348.103,4.70435,-0.512797,-1.0,15.4757,0.0111984,15.4877,0.0101355,15.4947,0.0103354,300021,57268.1596647,3
439680.0,570.096,8290.22,253456.0,274.197,440769.0,375.314,672043.0,496.917,4.70435,-0.512881,-1.0,12.5265,0.00117459,12.4264,0.000924505,12.3339,0.00080281,300022,57268.1596647,3
439679.0,553.164,8276.09,10520.5,169.405,16263.1,241.453,22927.9,344.326,4.70431,-0.512887,-1.0,15.9811,0.017483,16.0089,0.0161197,16.0015,0.0163054,300023,57268.1596647,3
439682.0,556.703,8323.09,21944.1,175.716,33999.0,248.46,44497.1,350.417,4.70436,-0.512823,-1.0,15.1829,0.00869401,15.2083,0.00793444,15.2816,0.00855025,300024,57268.1596647,3
439681.0,563.464,8313.45,8668.02,168.331,14107.7,240.548,20075.1,343.454,4.70436,-0.512842,-1.0,16.1914,0.0210848,16.1633,0.0185127,16.1458,0.0185754,300025,57268.1596647,3
439689.0,572.049,8317.37,8296.34,168.119,13005.6,240.102,18232.9,342.923,4.70438,-0.512843,-2.0,16.239,0.0220018,16.2516,0.0200443,16.2503,0.0204206,300026,57268.1596647,3
439687.0,560.437,8272.51,8924.54,168.49,14432.9,240.698,20030.1,343.469,4.70432,-0.512898,-1.0,16.1598,0.0204981,16.1386,0.018107,16.1482,0.0186179,300027,57268.1596647,3
439686.0,572.614,8274.13,10088.4,169.137,15996.7,241.312,22399.0,344.125,4.70434,-0.512906,-1.0,16.0267,0.018203,16.0269,0.0163785,16.0269,0.0166807,300028,57268.1596647,3
439692.0,567.197,8301.47,32935.1,181.603,52206.4,255.489,73019.0,358.376,4.70436,-0.512862,-1.0,14.7421,0.00598674,14.7426,0.00531341,14.7438,0.0053288,300029,57268.1596647,3
439597.0,2066.37,8337.69,9502.26,167.629,15187.2,240.08,20860.3,343.231,4.70686,-0.514041,-1.0,16.0917,0.0191536,16.0832,0.0171634,16.1041,0.0178645,300030,57268.1596647,3
439596.0,2074.27,8335.2,8436.0,167.005,13346.8,239.321,18589.5,342.564,4.70687,-0.514051,-1.0,16.2209,0.0214941,16.2235,0.0194684,16.2293,0.0200078,300031,57268.1596647,3
439563.0,416.584,8336.18,12906.5,170.719,20579.3,243.145,28557.6,345.88,4.70414,-0.512689,-1.0,15.7592,0.0143616,15.7534,0.012828,15.7631,0.0131501,300032,57268.1596647,3
439743.0,556.967,8342.0,1314.35,164.097,2132.98,235.656,3232.46,338.569,4.70438,-0.512796,1.0,18.2395,0.135555,18.2145,0.119955,18.1286,0.113721,300033,57268.1596647,3
439751.0,9958.07,8341.13,1761.1,166.545,2747.17,238.872,3930.99,345.031,4.71994,-0.520469,-1.0,17.9218,0.102677,17.9397,0.0944073,17.9162,0.0952976,300034,57268.1596647,3
439729.0,6650.79,8339.57,3094.7,166.379,5200.12,238.343,7718.87,342.601,4.71445,-0.517784,1.0,17.3097,0.0583722,17.2469,0.049764,17.1836,0.0481904,300035,57268.1596647,3
439711.0,5964.39,8340.73,2258.76,164.378,3452.74,236.178,4396.97,340.439,4.71331,-0.517223,-1.0,17.6516,0.0790131,17.6915,0.0742677,17.7946,0.0840642,300036,57268.1596647,3
439702.0,12723.6,8339.63,10995.6,175.467,17528.8,247.786,24328.4,352.098,4.72454,-0.522709,-1.0,15.9332,0.0173262,15.9276,0.015348,15.9372,0.0157136,300037,57268.1596647,3
439762.0,9048.33,8342.67,1140.6,169.646,1784.53,241.4,2301.62,345.271,4.71843,-0.519729,-1.0,18.3934,0.161487,18.4081,0.146873,18.4974,0.162875,300038,57268.1596647,3
439675.0,6752.54,8338.65,6321.78,168.266,10101.7,240.383,13732.4,344.388,4.71462,-0.517868,-1.0,16.5341,0.0288991,16.526,0.0258365,16.5581,0.0272288,300039,57268.1596647,3
