n,YJ,JH
0,-0.697199999999999,2.4508
1,-0.2453,2.1909
2,-0.305099999999999,1.9464
3,-0.1022,1.4964
4,-0.264199999999999,1.5727
5,-0.529800000000002,2.3452
6,-0.656699999999997,2.0566
7,-0.136400000000002,1.8489
8,-1.0585,0.996499999999999
9,-0.122700000000002,1.7083
10,0.0212000000000003,1.6659
11,-0.0205999999999982,1.5845
12,-0.0420000000000016,1.5242
13,-1.0402,1.664
14,-0.0396999999999998,1.518
15,-0.696200000000001,2.3413
16,0.00349999999999895,1.7872
17,-0.0264999999999986,1.4592
18,-0.057500000000001,1.6179
19,-0.0615999999999985,1.472
20,-0.159500000000001,1.4934
21,0.146600000000001,1.6964
22,-0.0522000000000027,1.6105
23,-0.0289999999999999,1.5686
24,0.0716000000000001,1.6451
25,-0.0865000000000009,1.5807
26,-0.339700000000001,1.4863
27,0.041500000000001,1.4583
28,-0.0444999999999993,1.5302
29,0.00329999999999941,1.6028
30,0.0177999999999976,1.6444
31,-0.1614,1.4939
32,-0.150399999999998,1.5164
33,-0.621299999999998,0.929299999999998
34,0.053600000000003,1.5559
35,-0.0779999999999994,1.535
36,0.00499999999999901,1.6057
37,-0.00940000000000296,1.613
38,-0.0257000000000005,1.5606
39,-0.108899999999998,1.5335
40,0.0222999999999978,1.4778
41,-0.0228000000000002,1.61
42,0.0198,1.4474
43,0.120200000000001,1.5429
44,-0.0659999999999989,1.5438
45,-0.211799999999997,1.4129
46,-0.0395000000000003,1.589
47,0.0859999999999985,1.5676
48,0.149100000000001,1.5866
49,0.0367999999999995,1.4191
50,-0.0244,1.5295
51,-0.3749,1.3725
52,-0.106300000000001,1.5461
53,-0.283300000000001,1.3334
54,-0.613799999999999,2.2549
55,-0.147500000000001,1.5736
56,-0.1496,1.5204
57,0.0289999999999999,1.4671
58,-0.278299999999998,1.2978
59,-0.0497999999999976,1.583
60,0.0230999999999995,1.6355
61,0.2012,1.5535
62,0.0321999999999996,1.6641
63,-0.423400000000001,1.1816
64,0.0499000000000009,1.7045
65,-0.417899999999999,1.999
66,-0.00730000000000075,1.6295
67,-0.576500000000001,1.4174
68,0.0235999999999983,1.5523
69,-0.0905000000000022,1.5389
70,-0.5625,0.970099999999999
71,-0.1755,1.4851
72,-0.030899999999999,1.6028
73,0.0341999999999985,1.4321
74,-0.1812,0.811500000000001
75,-0.493300000000001,1.2514
76,-0.394300000000001,1.1893
77,-0.5266,2.6398
78,-0.1874,1.6203
79,0.123600000000003,1.6581
80,-0.145600000000002,1.4231
81,0.169700000000001,1.7415
82,0.0200999999999993,1.6574
83,0.109999999999999,1.7169
84,-0.0910000000000011,1.5912
85,-0.432099999999998,1.1482
86,-0.206799999999999,1.3896
87,-0.0495999999999999,1.7118
88,0.108899999999998,1.6155
89,-0.0451000000000015,1.6446
90,0.094100000000001,1.7428
91,-0.230900000000002,1.4443
92,0.0334000000000003,1.8232
93,0.0855999999999995,1.5554
94,0.0228999999999999,1.4651
95,-0.2666,1.1616
96,0.1404,1.8773
97,0.1957,0.431000000000001
98,-0.0675000000000026,1.5455
99,-0.020900000000001,1.5345
100,0.1569,1.7782
101,-0.2104,1.2837
102,0.172499999999999,1.4088
103,-0.110299999999999,1.5083
104,-0.118500000000001,1.5995
105,-0.0400999999999989,1.5225
106,0.145900000000001,1.4688
107,0.0860000000000021,1.6479
108,0.0448999999999984,1.7485
109,-0.0533999999999999,1.4367
110,0.0980000000000025,1.6625
111,0.0269000000000013,1.572
112,-0.7103,1.9241
113,-0.0722000000000023,1.6306
114,0.053799999999999,1.6677
115,-0.1477,1.5635
116,-0.167000000000002,1.5211
117,-0.142700000000001,1.5279
118,-0.105,1.7014
119,-0.0314000000000014,1.6337
120,-0.5366,1.5938
121,-0.1035,1.621
122,-0.131400000000003,1.5749
123,-0.621600000000001,1.5713
124,-0.2705,1.2884
125,-0.205000000000002,1.3065
126,0.154299999999999,1.0675
127,-0.0605000000000011,1.5087
128,-0.303999999999998,1.2787
129,-0.925799999999999,0.8066
130,-0.5168,1.4717
131,-1.9407,0.959000000000001
132,0.0165000000000006,1.5107
133,-1.1394,2.5842
134,-0.139000000000003,1.4579
135,-0.0524999999999984,1.5457
136,-0.1861,1.2916
137,-0.1632,1.3783
138,-1.1486,2.0996
139,-0.2133,1.5797
140,-0.3688,1.1901
141,-0.0846000000000018,1.5574
142,0.0505999999999993,1.3612
143,-0.255099999999999,1.4027
144,0.0469000000000008,1.4349
145,-0.196300000000001,1.424
146,-0.0923000000000016,1.379
147,0.159299999999998,1.6892
148,0.0860999999999983,1.5735
149,-0.219100000000001,1.5365
150,0.1213,1.4932
151,-0.362900000000003,1.3808
152,-0.242100000000001,1.6551
153,0.105699999999999,1.5439
154,-0.409500000000001,1.588
155,-0.163,1.2821
156,-0.105,1.4705
157,-0.0213999999999999,1.0971
158,-0.0581999999999994,1.466
159,-0.209799999999998,1.6298
160,-0.0851000000000006,1.2626
161,-0.176400000000001,1.3565
162,-0.1799,1.4458
163,0.204600000000001,1.6999
164,0.0633999999999979,1.5433
165,-0.128600000000002,1.5574
166,-0.2271,1.2624
167,0.0371000000000024,1.3626
168,0.1044,1.7661
169,-0.0432000000000023,1.626
170,-0.0609000000000002,1.6058
171,-0.0632000000000019,1.482
172,0.0976999999999997,1.6711
173,-0.00150000000000006,1.5968
174,-0.3111,1.2704
175,0.00910000000000011,1.6144
176,-0.0830999999999982,1.5645
177,-0.2469,1.704
178,-0.0443999999999996,1.5216
179,-0.354299999999999,1.1368
180,-0.0416999999999987,0.9328
181,0.0645000000000024,1.4205
182,0.0693000000000019,1.4107
183,0.0787000000000013,1.4189
184,-0.189600000000002,1.1768
185,-0.432200000000002,1.1787
186,0.0670000000000002,1.7242
187,-0.059099999999999,1.6681
188,-0.6721,0.947100000000001
189,-0.227500000000003,0.1724
190,0.156399999999998,1.703
191,-0.236000000000001,1.1498
192,-0.0409000000000006,1.454
193,-0.168399999999998,1.5266
194,0.101200000000002,1.6521
195,-0.1754,1.558
196,0.00910000000000011,1.5032
197,-0.233800000000002,1.3852
198,0.1487,1.3549
199,-0.246500000000001,1.5045
200,-0.104900000000001,1.5158
201,-0.1084,1.5388
202,-0.0432000000000006,1.8509
203,-0.318800000000003,1.5122
204,-0.0038000000000018,1.6576
205,-0.0427,1.5285
206,-0.158999999999999,1.4622
207,-0.214400000000001,1.4103
208,-1.3149,2.5788
209,-0.0406000000000013,1.5419
210,-0.138100000000001,1.458
211,0.0443999999999996,1.6158
212,-0.325200000000002,1.8529
213,-0.470600000000001,1.7889
214,-0.371600000000001,1.1272
215,-0.0627999999999993,1.1844
216,-0.00319999999999965,1.5744
217,0.140600000000001,1.7897
218,0.107700000000001,1.7394
219,0.021099999999997,1.6356
220,-0.0608000000000004,1.4694
221,-0.0462000000000025,1.6122
222,-0.0986000000000011,1.6184
223,-0.221499999999999,1.6215
224,-0.1082,1.4628
225,-0.163499999999999,1.734
226,-0.099499999999999,1.6141
227,-0.0728000000000009,1.5755
228,-0.183,1.3328
229,-0.270999999999997,1.3309
230,-1.7848,2.8082
231,-0.260100000000001,1.4956
232,-0.121700000000001,1.2462
233,-0.1226,1.4339
234,0.826800000000002,1.3402
235,-0.118600000000001,1.4719
236,0.0669000000000004,1.4105
237,0.0632000000000019,1.4552
238,-0.0731999999999999,1.4073
239,0.106400000000001,1.583
240,0.375,0.778600000000001
241,-0.0292000000000012,1.525
242,-0.173400000000001,1.4689
243,-0.0891999999999982,1.5619
244,-0.119599999999998,1.519
245,-0.0677999999999983,1.4932
246,-0.2027,1.3311
247,-0.0516000000000005,1.5571
248,-0.3504,1.2568
249,0.149999999999999,1.3399
250,-0.334800000000001,1.5798
251,0.109999999999999,1.4944
252,0.124400000000001,1.3602
253,-0.411799999999999,0.961599999999999
254,-0.0717000000000034,1.5611
255,-0.2784,1.4445
256,-0.155100000000001,1.5619
257,-0.1563,1.5316
258,-0.368500000000001,1.2885
259,-0.00659999999999883,1.5997
260,-0.0965000000000007,1.5037
261,-0.344999999999999,1.2089
262,-0.1999,1.4408
263,0.1249,1.81
264,-0.0851000000000006,1.3048
265,0.183199999999999,1.6894
266,0.075999999999997,1.5963
267,-0.0379000000000005,1.606
268,-0.0685000000000002,1.5515
269,-0.101799999999997,1.4781
270,-0.291499999999999,1.3823
271,-0.139300000000002,1.6259
272,-0.0192999999999994,1.3896
273,0.087299999999999,1.5132
274,-0.219899999999999,1.404
275,-0.0609000000000002,1.346
276,-0.128,1.4468
